N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
100.000000,0.000022,0.000058,0.000027,0.000025,0.000082,0.000020,0.000095,0.000126,0.000092,0.000025,0.000038,0.000034,0.000004,0.000003,0.000002,0.000003,0.000002,0.000002,0.000001,0.000009,0.000001,0.000005
200.000000,0.000031,0.000103,0.000044,0.000032,0.000128,0.000036,0.000212,0.000189,0.000169,0.000034,0.000091,0.000046,0.000009,0.000005,0.000002,0.000003,0.000004,0.000002,0.000002,0.000026,0.000001,0.000015
300.000000,0.000046,0.000226,0.000060,0.000047,0.000296,0.000059,0.000261,0.000236,0.000262,0.000054,0.000257,0.000092,0.000008,0.000004,0.000003,0.000009,0.000007,0.000004,0.000003,0.000064,0.000001,0.000037
400.000000,0.000054,0.000371,0.000073,0.000061,0.000553,0.000081,0.000347,0.000344,0.000386,0.000094,0.000479,0.000113,0.000012,0.000007,0.000002,0.000006,0.000010,0.000005,0.000002,0.000095,0.000002,0.000065
500.000000,0.000086,0.000614,0.000095,0.000075,0.000852,0.000101,0.000417,0.000400,0.000335,0.000086,0.000606,0.000142,0.000015,0.000007,0.000004,0.000011,0.000014,0.000007,0.000003,0.000179,0.000004,0.000147
600.000000,0.000085,0.000847,0.000100,0.000087,0.001228,0.000135,0.000472,0.000507,0.000491,0.000107,0.000930,0.000175,0.000021,0.000013,0.000004,0.000009,0.000019,0.000007,0.000003,0.000243,0.000002,0.000238
700.000000,0.000100,0.001230,0.000120,0.000147,0.001626,0.000156,0.000582,0.000527,0.000517,0.000141,0.001770,0.000316,0.000040,0.000023,0.000006,0.000016,0.000039,0.000014,0.000004,0.000385,0.000004,0.000332
800.000000,0.000150,0.001563,0.000139,0.000120,0.002005,0.000178,0.000657,0.000614,0.000647,0.000145,0.001707,0.000237,0.000040,0.000015,0.000004,0.000011,0.000035,0.000009,0.000003,0.000519,0.000003,0.000429
900.000000,0.000205,0.001870,0.000160,0.000136,0.002449,0.000231,0.000641,0.000616,0.000654,0.000177,0.002123,0.000279,0.000070,0.000017,0.000005,0.000018,0.000039,0.000011,0.000004,0.000745,0.000003,0.000590
999.000000,0.000158,0.002524,0.000183,0.000152,0.002895,0.000233,0.000776,0.000760,0.000726,0.000187,0.002611,0.000322,0.000065,0.000018,0.000015,0.000019,0.000048,0.000011,0.000003,0.001015,0.000002,0.000762
